                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.86292,                0.39065,                 1.1236,                0.96177,                0.97758,                0.98346,                0.83825,                0.68769,                0.31553,                 1.0467,               0.001783,               0.001783,               0.001783
                     86,                0.85951,                0.38737,                 1.1274,                0.97402,                0.98723,                0.98135,                 0.8384,                0.68132,                0.30453,                 1.0459,               0.001684,               0.001684,               0.001684
                     87,                0.85964,                0.39094,                 1.1302,                0.98102,                 0.9931,                0.98335,                0.83888,                0.67499,                0.29126,                   1.04,               0.001585,               0.001585,               0.001585
                     88,                0.85446,                0.39032,                 1.1236,                0.97983,                0.98964,                0.98473,                 0.8389,                0.69355,                0.28858,                 1.0538,               0.001486,               0.001486,               0.001486
                     89,                0.84727,                0.38795,                 1.1182,                0.97357,                0.99293,                0.98637,                0.84044,                0.69206,                0.28878,                 1.0503,               0.001387,               0.001387,               0.001387
                     90,                0.84536,                0.37951,                 1.1216,                0.98032,                0.99042,                0.98369,                0.83764,                0.69676,                0.28553,                  1.057,               0.001288,               0.001288,               0.001288
                     91,                0.83164,                0.34919,                 1.1603,                0.98059,                0.99344,                0.98427,                0.83708,                0.68598,                0.28508,                 1.0489,               0.001189,               0.001189,               0.001189
                     92,                0.83361,                0.34495,                 1.1553,                 0.9742,                0.98553,                0.98328,                0.84021,                0.68595,                0.28985,                 1.0513,                0.00109,                0.00109,                0.00109
                     93,                0.83419,                  0.345,                 1.1609,                0.98003,                0.99265,                0.98387,                0.83674,                0.70078,                0.28361,                 1.0581,               0.000991,               0.000991,               0.000991
                     94,                0.82796,                0.34136,                 1.1629,                0.98173,                0.98923,                0.98392,                0.83626,                0.68872,                0.28067,                 1.0498,               0.000892,               0.000892,               0.000892
                     95,                0.82921,                0.33827,                 1.1586,                0.97966,                0.99168,                0.98395,                0.83904,                0.68547,                0.27736,                 1.0481,               0.000793,               0.000793,               0.000793
                     96,                0.82233,                0.33166,                 1.1527,                0.98189,                0.99414,                0.98314,                0.83993,                0.68505,                0.27197,                 1.0436,               0.000694,               0.000694,               0.000694
                     97,                0.81391,                0.33375,                 1.1498,                0.98235,                0.99274,                0.98392,                0.84162,                0.68394,                0.27507,                 1.0472,               0.000595,               0.000595,               0.000595
                     98,                0.82041,                0.33278,                 1.1433,                0.98031,                0.99322,                0.98377,                0.83827,                0.68943,                 0.2728,                 1.0504,               0.000496,               0.000496,               0.000496
                     99,                0.81542,                0.32857,                 1.1404,                0.97962,                0.99311,                0.98435,                0.84148,                0.68649,                0.27048,                 1.0434,               0.000397,               0.000397,               0.000397
                    100,                0.81186,                 0.3276,                 1.1499,                0.98074,                 0.9935,                0.98487,                 0.8424,                0.68352,                0.26731,                 1.0425,               0.000298,               0.000298,               0.000298
